job_id,company_name,title,description,max_salary,pay_period,location,company_id,views,med_salary,min_salary,formatted_work_type,applies,original_listed_time,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,normalized_salary,zip_code,fips
3872787865,Radiant Systems Inc,eCommerce Data Analyst,"Job Description: JOB SUMMARY:Responsible for cleaning, analyzing, interpreting, and displaying data using different approaches and business intelligence tools known as data analysis. Responsible for supporting a select group of digital tools and solutions and managing the implementation, business process modifications, project management, training, and communications of those technologies across the organization and targeted user base. Lead the demonstration of solutions and training for users on digital technology, provide collateral and updated training documents, and serve as an escalation point to troubleshoot non-common issues and user onboarding.DETAILED DESCRIPTION:• Responsible for supporting a selected group of digital tools and solutions and managed the implementation, business process modifications, project management, training, and communications of those technologies across the organization and targeted user base• Leads the demonstration of solutions and training for users on our internally grown digital technology, provides collateral and updated training documents and serves as an escalation point to troubleshoot non-common issues and user onboarding• Assists with the development, planning, organizing, and executing of all administrative tasks for a project• Monitors project execution aspects to ensure contribution by team members• Performs incidental project management, including planning, research, analysis and implementation of deliverables and action items• Acts as project sub-task lead on small projects• Assigning numerical value to essential business functions to assess and compare performance over time• Preparing reports for the management stating trends, patterns, and predictions using relevant data• Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to make crucial decisions based on various facts and trends
REQUIREMENTS AND SKILLS:• Experience analyzing data sets to find ways to solve problems relating to a business's customers• Familiarity with the eCommerce industry is a plus• Experience using data analyst tools• Experience presenting to peers, management, and other stakeholders• Excellent communication and problem-solving skills• Outstanding organizational skills• Multi-tasking abilities• Detailed oriented• Self-starter• Critical Thinking• Exceptional teamwork and leadership skills to help other technical support workers• Ability to learn new technologies and implement them• Personable and attentive – excellent customer service skills• Strong interpersonal skills• Performs incidental project management, including planning, research, analysis and implementation of deliverables and action items• Manage daily tasks
",,,United States,3342169.0,102.0,,,Contract,,1713277624000.0,1.0,https://www.linkedin.com/jobs/view/3872787865/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1715869624000.0,1713278609000.0,,,1713277624000.0,,0,CONTRACT,,,,,
3884428490,Advaana Inc,Digital Analyst (Google Analytics),"Job Title: Digital Analytics Specialist
Location: Weehawken, NJ
Company: Advaana Inc.
About Advaana Inc.
Advaana Inc., a premier Digital Analytics consulting firm, stands as a martech ally for agencies and marketing teams. We excel in Google Analytics 4, mParticle, Firebase, Branch/Braze, among other technologies, driving optimization in digital marketing strategies through superior analytics implementations. Our proficiency extends to Google Tag Manager, Adobe Analytics, Adobe Experience Platform, Looker Studio, Tableau, Power BI, and cloud technologies including AWS, GCP, and Azure.
Position Overview:
Advaana Inc. is on the lookout for a skilled Digital Analytics Specialist for our NJ location. This pivotal role is designed for individuals eager to push the boundaries of digital marketing through insightful data analysis and technological integrations. The ideal candidate will be deeply versed in Google Analytics 4, supplemented by familiarity with mParticle, Firebase, and Branch/Braze.
Responsibilities:
- Mastery of Google Analytics 4 is essential, with valuable knowledge in mParticle, Firebase, Branch/Braze. Applicants should be proficient in tagging and ready to engage in design and architecture discussions.- Identify and integrate the optimal marketing automation software and technological solutions into clients' frameworks, ensuring alignment with their strategic objectives.- Utilize robust problem-solving capabilities to decipher metrics such as conversion rates, cost-per-lead, and click-through rates, extracting insights for progressive enhancements.- Play an instrumental role in refining marketing campaigns, elevating customer engagement, and bolstering overall business metrics through detailed data analysis and the strategic use of marketing technology tools.- Collaborate intimately with marketing teams, digital marketing professionals, data analysts, and developers to uncover opportunities, evaluate performance, and devise strategies for marketing optimization.- Engage in rigorous data analysis and reporting, adeptly employing marketing technology tools like Braze, mParticle, Branch, Snowflake, Google Analytics, and Google Tag Management for strategic decision-making.- Design, execute, and analyze A/B or multivariate tests, reporting on outcomes to guide marketing tactics.- Gather, track, and scrutinize data via KPIs such as click-through rate, conversion rate, and cost-per-lead, proposing methods to amplify customer acquisition, demand generation, and revenue.- Demonstrate intermediate expertise in new technology solutions, including project management software, digital advertising platforms, and database management and analytics.
Qualifications:
- Proficient in Google Analytics 4, with a keen understanding of mParticle, Firebase, Branch/Braze.- Hands-on experience with tagging, data analysis, and the application of marketing technology tools.- Strong analytical skills with the capacity to interpret complex data for business insights.- Collaborative spirit, able to work across teams and with client stakeholders.- Knowledge in conducting A/B testing, multivariate testing, and proficiency in reporting.- Intermediate level skills in project management software, digital advertising platforms, and database management and analytics.
Why Join Us?
Advaana Inc. offers a stimulating environment where innovation and growth are not just encouraged but are part of our DNA. Being at the forefront of digital analytics and marketing technology, we provide a collaborative culture where your contributions will have a direct impact on our success and that of our clients. If you are passionate about leveraging data to drive marketing success, your place is here with us.
Apply Now
Step into the future of digital marketing analytics with Advaana Inc. Submit your application today through LinkedIn or visit our website.
---
Advaana Inc. is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.",,,United States,68239505.0,128.0,,,Full-time,37.0,1712350881000.0,1.0,https://www.linkedin.com/jobs/view/3884428490/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1714942881000.0,,,,1712350881000.0,,0,FULL_TIME,,,,,
3884434978,Outlier,"Senior Data Analyst - AI Training (Remote, Contract)","Job Type: Contract

We don’t sponsor work visas as part of this role. 

Are you interested in helping to train AI models to better understand data?

Calling all data analysts, data scientists, and data engineers! Our team is seeking highly experienced SQL experts to be part of the artificial intelligence (AI) revolution.

If you have 2+ years of recent work experience in SQL, this may be the perfect opportunity for you.

Join our team in training AI models to excel at coding generation! We're seeking talented data engineers to work remotely on exciting projects. As part of this opportunity, you'll contribute to training generative artificial intelligence models, helping them become proficient data analysts.

Responsibilities

We have partnered with organizations to train AI large language models, helping cutting-edge generative AI models write better SQL code. Projects typically include discrete, highly variable problems that involve engaging with these models as they learn.

Your responsibilities might include:

Solving complex multi-faceted SQL problems including multiple CTEs, partitioning/window functions, and advanced joinsOptimizing SQL queries to maximize efficiency and readability.Code review SQL queries to ensure accuracy against specific customer requirements.Lead training sessions to build cross team SQL knowledge and share advanced SQL concepts.Assess the SQL level of new team members and identify promising new candidates to join our quickly growing team.Serve as the team Subject Matter Expert on all things SQL.

No previous experience with AI is necessary! You will receive detailed instructions on what is expected of you after you complete the application and verification process.

Qualifications:

Required qualifications: 

Bachelor's degree in Data Science, Computer Science, or a related field AND 2+ years of experience in a data analysis or data science roleComplete fluency in the English languageAbility to articulate complex scientific concepts in a clear and engaging mannerExcellent attention to detail and ability to maintain consistency in writingSolid understanding of grammar, punctuation, and style guidelinesExpert proficiency in working with SQL 2+ years of recent work experience in SQL with a primary focus on building advanced dashboards

Why work on Outlier?

Cutting-Edge Projects: Work on challenging projects that push the boundaries of AI coding abilitiesFlexibility: Set your own hours and work remotely from anywhereWeekly payouts: Get paid conveniently on a weekly basisCollaborative environment: Join a team of talented professionals who share your passion for AI and programming

Pay: $55 per hour

PLEASE NOTE : We collect, retain and use personal data for our professional business purposes, including notifying you of job opportunities that may be of interest and sharing with our affiliates. We limit the personal data we collect to that which we believe is appropriate and necessary to manage applicants’ needs, provide our services, and comply with applicable laws. Any information we collect in connection with your application will be treated in accordance with our internal policies and programs designed to protect personal data.",,HOURLY,United States,92583550.0,258.0,55.0,,Contract,61.0,1712349342000.0,1.0,https://www.linkedin.com/jobs/view/3884434978/?trk=jobs_biz_prem_srch,https://boards.greenhouse.io/outlier/jobs/4372072005?gh_src=e2e12c345us&source=LinkedIn,OffsiteApply,1714942061000.0,,Mid-Senior level,,1712350061000.0,boards.greenhouse.io,0,CONTRACT,USD,BASE_SALARY,114400.0,,
3884439171,EquiLend,Graduate Business Analyst,"Company Overview

As a leading global FinTech company focused on Securities Finance, we provide a comprehensive suite of products and services such as our advanced securities lending trading platform NGT, EquiLend Spire, post-trade solutions, regulatory technology, invaluable securities market data and more.

Our deep insights into the securities lending market allow us to offer state-of-the-art technology and services that cater to clients across the globe, driving efficiency and optimizing their operations.

Are you ready to contribute to the evolution of securities finance? Join EquiLend and be at the forefront of fostering innovation and excellence in products that have a worldwide impact.

What’s On Offer

We are seeking a Graduate Business Analyst to join us on a one-year graduate program based in our Berkeley Heights New Jersey Office, starting 8th July 2024.

Does the idea of working with cutting-edge financial technology products excite you?

In this role, you work as part of the team responsible for working with developers, testers and other technical internal teams to ensure clients can get maximum use and efficiency from our EquiLend Spire product. You will build your skills within building product roadmaps, sprint planning, agile methodology, client communication and more!

If working closely with external clients as well as with internal teams to integrate client's data into our EquiLend Spire product sounds appealing, then this Graduate Business Analyst specialized route is ideal for you.

The best bit? Top performers have the chance to secure a permanent position having already gained a solid foundation in your desired specialty.

Role Requirements

We are seeking students expecting to graduate in May 2024 with a Bachelor's degree in Information Management or a related business field and a minimum cumulative GPA of 3.2 on a 4.0 scale.

A degree in a relevant or transferable subject, ideally around Information Management or Data. A cumulative GPA of 3.2 at the time of graduation. Excellent communication and presentation skills, with the ability to tailor your style to meet the needs of different audiences in a clear and concise manner. Technical and data aptitude with the ability to understand technical problems and find solutions Detail oriented and able to ensure high accuracy in your work. Able to demonstrate knowledge of Excel Knowledge and experience of SQL would be highly beneficial The ability to quickly build relationships with clients and internal teams Excellent analytical skills, along with strong written and verbal communication skills An aptitude for working with data and an understanding of how it can be used in decision making 


We’d also like to see

Engaging communication and interpersonal skills – we value great teamwork and collaboration A genuine interest in building a career in financial technology (FinTech) Solid analytical and problem-solving skills; you’ll need to be comfortable handling complex information with accuracy and great attention to detail A passion for continued learning! 


Please note, EquiLend does not provide sponsorship for this position.

Role Location & Benefits

Discretionary annual cash bonus Hybrid working – 100 days per annum to work remotely Generous vacation allowance Health and dental insurance coverage from day one 401(k) employer matching contribution plan available from day one 


Diversity & Inclusion

We value diversity and inclusion across all of our teams globally. We recognise that varied perspectives and skills fuel innovation and excellence and we're committed to fostering a workplace where everyone feels valued and can thrive. If you require any accommodations during the application process please let us know.

",,,"New Jersey, United States",58930.0,114.0,,,Full-time,38.0,1712275200000.0,,https://www.linkedin.com/jobs/view/3884439171/?trk=jobs_biz_prem_srch,https://equilend.com/careers/current-vacancies/?gh_jid=4341953007&gh_src=85e57a357us,OffsiteApply,1714940749000.0,,Mid-Senior level,,1712348749000.0,equilend.com,0,FULL_TIME,,,,,
3884441939,24 Seven Talent,Marketing Analyst,"Our client has an immediate need for a Marketing Analyst to start as soon as next week. This is a 4–6-week assignment that is fully remote with potential to extend. Must be US based. $40-$50/hr.
We are seeking an experienced analyst to develop a comprehensive marketing analytics dashboard to track the performance of our marketing campaigns from initial touchpoints to enrollment. The dashboard will integrate data from multiple sources across all marketing channels to provide actionable insights for optimizing our marketing strategies and maximizing enrollment conversions.
Objective: The primary objective of this project is to build a centralized platform that consolidates data from various marketing channels, allowing for a holistic view of our marketing efforts. By tracking key metrics from the initial touchpoint through to enrollment, we aim to identify opportunities for improving campaign effectiveness, enhancing customer journey experiences, and ultimately driving higher enrollment rates.
Scope of Work:• Collaborate with stakeholders to understand business requirements and key performance indicators (KPIs).• Identify and integrate data sources from all marketing channels including but not limited to: social media, email marketing, paid advertising, website analytics, and CRM systems.• Design and develop a user-friendly dashboard interface that provides real-time insights into marketing performance metrics.• Implement data visualization techniques to present complex data in a clear and understandable manner.• Utilize advanced analytics techniques such as attribution modeling, cohort analysis, and funnel analysis to extract actionable insights.• Ensure data accuracy, integrity, and security throughout the dashboard development process.• Conduct thorough testing to validate the functionality and accuracy of the dashboard.• Provide documentation and training materials to enable stakeholders to effectively utilize the dashboard for decision-making purposes.
Deliverables:• Fully functional marketing analytics dashboard with intuitive user interface• Documentation outlining data sources, dashboard functionalities, and maintenance procedures• Training materials to educate stakeholders on how to use the dashboard effectively

Qualifications:• Proven experience in building marketing analytics dashboards, preferably in an educational or enrollment-focused setting.• Proficiency in data integration, analysis, and visualization tools such as Tableau, Power BI, or Google Data Studio.• Strong analytical and problem-solving skills, with the ability to translate complex data into actionable insights.• Excellent communication and collaboration skills to work effectively with cross-functional teams and stakeholders.",50.0,HOURLY,United States,17937.0,200.0,,40.0,Contract,74.0,1712351150000.0,1.0,https://www.linkedin.com/jobs/view/3884441939/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1714943150000.0,,,,1712351150000.0,,0,CONTRACT,USD,BASE_SALARY,93600.0,,
3884847999,Lightcast,Data Analyst (Korean),"Lightcast is looking for data driven individuals with specific language skills in order to help us expand our global features. This individual will be integral in ensuring we are able to deliver high quality data to our customers.

Please note that this contract term up to 9 months.

Major Responsibilities

Analyze and improve data quality of multilingual text classifiers.Work with linguistics and engineering teams to build out new parsers across languages.Translate various taxonomies such as Skills, Titles, and Occupations.

Skills/Abilities

Competency in reading and writing KoreanUnderstanding of syntax and structural analysis of languagesMicrosoft Excel experience (including vlookups, data cleanup, and functions)Knowledge of query languages such as SQLStrong knowledge of rule writing using RegExKnowledge of text analysis or machine learning principlesExperience with data analysis using tools such as Excel or Python

Education And Experience

Bachelor’s degree in Linguistics, Data Analytics, NLP or similar (preferred)Knowledge of other languages. 

Lightcast is a global leader in labor market insights with headquarters in Moscow (ID) with offices in the United Kingdom, Europe, and India. We work with partners across six continents to help drive economic prosperity and mobility by providing the insights needed to build and develop our people, our institutions and companies, and our communities. Lightcast is proud to be an equal opportunity workplace and is committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. Lightcast has always been, and always will be, committed to diversity, equity and inclusion. We seek dynamic professionals from all backgrounds to join our teams, and we encourage our employees to bring their authentic, original, and best selves to work.

",,,United States,345589.0,44.0,,,Contract,7.0,1712377010000.0,1.0,https://www.linkedin.com/jobs/view/3884847999/?trk=jobs_biz_prem_srch,https://jobs.lever.co/economicmodeling/5afca0d6-2c94-418e-b33b-3a7c0a7f1f81/apply,OffsiteApply,1714969751000.0,,Entry level,,1712377751000.0,jobs.lever.co,0,CONTRACT,,,,,
3884850836,Lightcast,Data Analyst (Chinese),"Lightcast is looking for data driven individuals with specific language skills in order to help us expand our global features. This individual will be integral in ensuring we are able to deliver high quality data to our customers.

Please note that this contract term up to 9 months.

Major Responsibilities

Analyze and improve data quality of multilingual text classifiers.Work with linguistics and engineering teams to build out new parsers across languages.Translate various taxonomies such as Skills, Titles, and Occupations.

Skills/Abilities

Competency in reading and writing ChineseUnderstanding of syntax and structural analysis of languagesMicrosoft Excel experience (including vlookups, data cleanup, and functions)Knowledge of query languages such as SQLStrong knowledge of rule writing using RegExKnowledge of text analysis or machine learning principlesExperience with data analysis using tools such as Excel or Python

Education And Experience

Bachelor’s degree in Linguistics, Data Analytics, NLP or similar (preferred)Knowledge of other languages. 

Lightcast is a global leader in labor market insights with headquarters in Moscow (ID) with offices in the United Kingdom, Europe, and India. We work with partners across six continents to help drive economic prosperity and mobility by providing the insights needed to build and develop our people, our institutions and companies, and our communities. Lightcast is proud to be an equal opportunity workplace and is committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. Lightcast has always been, and always will be, committed to diversity, equity and inclusion. We seek dynamic professionals from all backgrounds to join our teams, and we encourage our employees to bring their authentic, original, and best selves to work.

",,,United States,345589.0,15.0,,,Contract,1.0,1712376992000.0,1.0,https://www.linkedin.com/jobs/view/3884850836/?trk=jobs_biz_prem_srch,https://jobs.lever.co/economicmodeling/8161bd07-193d-4c71-bf94-ba46c68f3ff1/apply,OffsiteApply,1714969751000.0,,Entry level,,1712377751000.0,jobs.lever.co,0,CONTRACT,,,,,
3884850852,Lightcast,Data Analyst (Japanese),"Lightcast is looking for data driven individuals with specific language skills in order to help us expand our global features. This individual will be integral in ensuring we are able to deliver high quality data to our customers.

Please note that this contract term up to 9 months.

Major Responsibilities

Analyze and improve data quality of multilingual text classifiers.Work with linguistics and engineering teams to build out new parsers across languages.Translate various taxonomies such as Skills, Titles, and Occupations.

Skills/Abilities

Competency in reading and writing JapaneseUnderstanding of syntax and structural analysis of languagesMicrosoft Excel experience (including vlookups, data cleanup, and functions)Knowledge of query languages such as SQLStrong knowledge of rule writing using RegExKnowledge of text analysis or machine learning principlesExperience with data analysis using tools such as Excel or Python

Education And Experience

Bachelor’s degree in Linguistics, Data Analytics, NLP or similar (preferred)Knowledge of other languages. 

Lightcast is a global leader in labor market insights with headquarters in Moscow (ID) with offices in the United Kingdom, Europe, and India. We work with partners across six continents to help drive economic prosperity and mobility by providing the insights needed to build and develop our people, our institutions and companies, and our communities. Lightcast is proud to be an equal opportunity workplace and is committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. Lightcast has always been, and always will be, committed to diversity, equity and inclusion. We seek dynamic professionals from all backgrounds to join our teams, and we encourage our employees to bring their authentic, original, and best selves to work.

",,,United States,345589.0,5.0,,,Contract,,1712377053000.0,1.0,https://www.linkedin.com/jobs/view/3884850852/?trk=jobs_biz_prem_srch,https://jobs.lever.co/economicmodeling/f1152501-eb1d-471b-8098-888b4527b35a/apply,OffsiteApply,1714969751000.0,,Entry level,,1712377751000.0,jobs.lever.co,0,CONTRACT,,,,,
3884915254,Light & Wonder,ServiceMax/Salesforce Business Analyst,"Gaming:

Welcome to the world of land-based gaming. At Light & Wonder, it’s all about the games, and our Gaming team builds cutting-edge technology, products, and content for the most iconic casinos and operators across the globe.

Position Summary

The Business Systems Analysis focus specializes in the evaluation of business problems and potential for automated solutions. Assists in identifying, evaluating and specification development for systems and procedures that are cost effective and meet requirements. Executes unit, integration and acceptance testing for systems that meet business needs.

Analyzes complex business problems to be solved with automated systems. Identifies gaps and provides technical expertise in business requirements for system functional specifications and scales new and current systems, processes, and procedures in a cost-effective manner. Configures system settings and options; plans and executes unit, integration and acceptance testing to meet business requirements. Designs details of automated systems. May provide consultation to users around automated systems. May lead cross-functional linked teams to address business or systems issues. May be client-focused, working in conjunction with Professional Services and Outsourcing functions. May include company-wide, web-enabled solutions.

Knowledge, Skills, and Abilities: 

Experience in creating ServiceMax functionality such as SFM Transactions, SFM buttons, SFM wizard associations etc.Experience in managing role hierarchy, profiles, OWD settings, sharing rules, permission sets, public groups, queues and usersExperience in creating ServiceMax functionality such as SFM Transactions, SFM buttons, SFM Wizard etc.Experience in configuring Dispatch Console and/or Service BoardExperience in performing root cause analysis on ServiceMax related issuesExperience in ServiceMax customization, custom apps, objects, fields, record types, workflows, approvals processes, validation rules, process builders, flows, page layouts, custom report types, email templates etc.Experience in querying Salesforce.com database using SOQL queries.Experience in understanding programming languages such as Apex, Visual Force, and Aura Components.Experience with managing data integrity through the appropriate use of duplicate rules, importing and exporting data using Data Loader.Experience in developing custom reports and dashboards using Salesforce reporting and embedded tableau reports for both management and individual users.Experience in preparing test strategies ensuring the efficacy of development mitigating production issues.Proven ability to identify and gather requirements, translating into best practice, scalable solutions with a focus on an exceptional user experienceIdentify unused or underutilized platform featuresSupport all aspects of user and license management including new user setup/deactivation, roles, profiles, permissions, public groups, OWD, sharing rulesPerform ServiceMax configuration changes, including (but not limited to): SFM’s, Wizards, Flows, assignment rules, approval processes, fields, page layouts, record types, dynamic layouts, apps, actions, custom settings, GO app mobile administration etc.Sandbox environment managementPerform proactive system maintenance including security reviews, release updates, health check, and optimizerDrive the timely completion of cases and user stories


Work with integrated applications such as Oracle ERP and others

Qualifications

Qualifications:

Required

Certified ServiceMax Administrator: 3 years’ experienceCertified Salesforce AdministratorStrong Salesforce product knowledge including hands-on experience with Sales Cloud


Desired

Additional Salesforce certifications, such as Advanced Administrator, Platform App Builder, etc.Familiarity with WalkMe technology is a plus but not required


Education: 

Bachelor’s/Postgraduate degree, or professional qualification

Work Conditions: The working conditions are representative and typical of similar jobs in comparable organizations.

Light & Wonder Corporation and its affiliates are engaged in highly regulated gaming and lottery businesses. As a result, certain Light & Wonder may, among other things, be required to obtain a gaming or other license(s), undergo background investigations or security checks, or meet certain standards dictated by law, regulation or contracts. In order to ensure L&W complies with its regulatory and contractual commitments, as a condition to hiring and continuing to employ its employees, L&W requires all of its employees to meet those requirements that are necessary to fulfill their individual roles. As a prerequisite to employment with L&W (to the extent permitted by law), you shall be asked to consent to L&W conducting a due diligence/background investigation on you. 

This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above. 

Light & Wonder is an Equal Opportunity Employer and does not discriminate against applicants due to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. If you’d like more information about your equal employment opportunity rights as an applicant under the law, please click here for EEOC Poster.

",,,"Nevada, United States",79153265.0,6.0,,,Full-time,,1712345916000.0,,https://www.linkedin.com/jobs/view/3884915254/?trk=jobs_biz_prem_srch,https://lnw.wd5.myworkdayjobs.com/LightWonderExternalCareers/job/Nevada-US/ServiceMax-Salesforce-Business-Analyst_R315439?source=LinkedIn_Auto_Source,OffsiteApply,1714938642000.0,,Mid-Senior level,,1712346642000.0,lnw.wd5.myworkdayjobs.com,0,FULL_TIME,,,,,
3884936121,Zoom,Partner Automation Business Analyst,"As a Partner Automation Specialist at Zoom, you will be responsible for the seamless implementation of technology solutions, both internally within Zoom and externally with our network of distributors, resellers, and referral partners. Your primary focus will be on API integration, managing upgrades, developing deal registration tools, implementing NFR (not for resale) solutions, and overseeing the implementation of the tools and systems to support the ZoomUp 2.0 program. The ideal candidate will have project management experience, exceptional attention to detail, technical acumen, and the ability to work collaboratively across various departments within Zoom and with partner employees of all levels.

Key Responsibilities

Collaborate with internal teams to implement and manage technology solutions, including API integrations, system upgrades, and new feature rollouts.Own and define to-be channel business processes, work with internal teams to articulate these into technology solutions.Be the liaison between systems team and channels team to develop and maintain systems, tools and processes to support partner enablement and growth.Serve as the primary point of contact for technical support and guidance for our external partners, ensuring smooth integration and utilization of Zoom's technology solutions.Work cross-functionally with Sales, Marketing, Product Development, and Customer Success teams to align partner automation initiatives with company goals and objectives.Provide regular updates and reports on partner automation projects, including status updates, key metrics, and areas for improvement.Stay informed about industry trends, competitor offerings, and emerging technologies to identify opportunities for innovation and differentiation.Act as a liaison between Zoom and external partners and distributors, fostering strong relationships and ensuring alignment on strategic initiatives.Represent Zoom at partner events, conferences, and meetings as needed, showcasing our technology solutions and capabilities.

Qualifications

Bachelor's degree in Computer Science, Engineering, Business, or a related fieldProven experience in project management, preferably in a technology or software development environmentStrong technical aptitude with a deep understanding of API integration, software architecture, and cloud-based solution, with a track record of successful deployments.In-depth understanding of lead-to-revenue processes and experience in optimizing these workflows through automation.Excellent communication and interpersonal skills, with the ability to effectively engage with both technical and non-technical stakeholders at all levelsProficiency in business analysis techniques and requirements gathering methodologies.Knowledge of contact center and UCaaS technologies, with the ability to translate business needs into technical solutions.Excellent attention to detail and organizational skills, with the ability to manage multiple projects simultaneously.Experience working with distributors, resellers, and referral partners is highly desirableFamiliarity with the Zoom platform and its ecosystem is a plusAbility to thrive in a fast-paced, dynamic environment and adapt quickly to changing prioritiesWillingness to travel occasionally for partner meetings and events.

Minimum

Salary Range or On Target Earnings:

$65,200.00

Maximum

$158,900.00

At Zoom, we offer a window of at least 5 days for you to apply because we believe in giving you every opportunity. Below is the potential closing date, just in case you want to mark it on your calendar. We look forward to receiving your application!

Anticipated Position Close Date

04/12/24

In addition to the base salary and/or OTE listed Zoom has a Total Direct Compensation philosophy that takes into consideration; base salary, bonus and equity value.

Information about Zoom’s benefits is on our careers page here.

Note: Starting pay will be based on a number of factors and commensurate with qualifications & experience.

We also have a location based compensation structure; there may be a different range for candidates in this and other locations.

Ways of Working

Our structured hybrid approach is centered around our offices and remote work environments. The work style of each role, Hybrid, Remote, or In-Person is indicated in the job description/posting.

Benefits

As part of our award-winning workplace culture and commitment to delivering happiness, our benefits program offers a variety of perks, benefits, and options to help employees maintain their physical, mental, emotional, and financial health; support work-life balance; and contribute to their community in meaningful ways. Click Learn for more information.

About Us

Zoomies help people stay connected so they can get more done together. We set out to build the best collaboration platform for the enterprise, and today help people communicate better with products like Zoom Contact Center, Zoom Phone, Zoom Events, Zoom Apps, Zoom Rooms, and Zoom Webinars.

We’re problem-solvers, working at a fast pace to design solutions with our customers and users in mind. Here, you’ll work across teams to deliver impactful projects that are changing the way people communicate and enjoy opportunities to advance your career in a diverse, inclusive environment.

Our Commitment 

We believe that the unique contributions of all Zoomies is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. Zoom is proud to be an equal opportunity workplace and is an affirmative action employer. All your information will be kept confidential according to EEO guidelines.

We welcome people of different backgrounds, experiences, abilities and perspectives including qualified applicants with arrest and conviction records and any qualified applicants requiring reasonable accommodations in accordance with the law. If you need any assistance or accommodations due to a medical condition, or if you need assistance accessing our website or completing the application process, please let us know by emailing us at careers@zoom.us.

",,,United States,2532259.0,127.0,,,Full-time,25.0,1712349868000.0,1.0,https://www.linkedin.com/jobs/view/3884936121/?trk=jobs_biz_prem_srch,https://zoom.wd5.myworkdayjobs.com/Zoom/job/Remote--US/Partner-Automation-Business-Analyst_R13742-1?source=linkedin,OffsiteApply,1714942587000.0,,,,1712350587000.0,zoom.wd5.myworkdayjobs.com,0,FULL_TIME,,,,,
