job_id,company_name,title,description,max_salary,pay_period,location,company_id,views,med_salary,min_salary,formatted_work_type,applies,original_listed_time,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,normalized_salary,zip_code,fips,source,company,salary_min,salary_max,country_code,extracted_skills,avg_salary
,,Marketing Analyst,"Job Description: Rakuten International is a division of Rakuten Group, Inc., a Japanese global technology leader in services that empower individuals, communities, businesses and society. Headquartered in San Mateo, California with more than 4,000 employees worldwide, the Rakuten International business portfolio includes market leaders in e-commerce, digital marketing, advertising, communications and entertainment. We create products and services that provide exceptional value by aligning membe…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Rakuten,63394.0,99112.0,ca,[],81253.0
,,Senior Marketing Analyst (Hybrid),"WHO WE ARE When it comes to health, we’re always looking for ways to push for better. It’s why we were founded in the first place. In 1957, our founder, pharmacist William Wilkinson, witnessed a mother sacrifice her health by forgoing her own medicine to pay for her sick daughter’s prescription. He knew there had to be a better way. So, he introduced North America’s first prepaid drug plan, and GreenShield was born as a not-for-profit with a mission to support better health for all Canadians. W…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,GreenShield,72521.0,109341.0,ca,[],90931.0
,,Marketing Operations Analyst,"About Citylitics Inc. Citylitics delivers predictive intelligence on where, how, and why infrastructure investments will occur across North America. Infrastructure includes the foundational systems that shape our quality of life: water, transportation, transit, roads and highways, broadband, and power. It represents a multi-trillion-dollar market and a 20 year megatrend in North America. Citylitics transforms millions of documents across more than 40,000 cities, utilities, and public agencies i…",,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Citylitics,50000.0,70000.0,ca,[],60000.0
,,Senior Marketing Science Analyst,"About Flipp Flipp partners with the largest North American retailers and brands to deliver local promotions and savings to millions of engaged shoppers daily, driving superior returns on investments. We help people make smarter shopping decisions with autonomy and accountability. With rising living costs, Flipp's mission is crucial. Our Shopper Consideration Platform allows retailers and manufacturers to create digital experiences from their savings & deals content, aiding shoppers in deciding …",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Flipp,73000.0,83000.0,ca,[],78000.0
,,Senior Marketing Insights Analyst,"What do we do? Paddle offers digital product companies a completely different approach to their payment infrastructure. Instead of assembling and maintaining a complex stack of payments-related apps and services, we're a Merchant of Record for our customers. That means we take away 100% of the pain of payment fragmentation. It's faster, safer, cheaper, and, above all, way better. We're backed by investors including KKR, FTV Capital, Kindred, Notion, and 83North and serve over 6,000 software sel…",,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Paddle,110775.0,144299.0,ca,[],127537.0
,,Marketing Operations Analyst (RevOps) - ShareGate,"About ShareGate ShareGate is the leading Microsoft 365 migration and governance platform, trusted by over 100,000 IT pros for its unmatched simplicity. It offers the simplest, most reliable, and most affordable way to move business data to Microsoft 365. Whether migrating from Google Workspace, file shares, Exchange Online, SharePoint On-Premises, or tenant-to-tenant, ShareGate gets the job done, without surprises. From cloud transformation to M&A integration, it keeps things just damn simple. …",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,ShareGate,110000.0,140000.0,ca,[],125000.0
,,Marketing Operations Analyst (RevOps) - ShareGate,"Company Description Workleap is a Montreal-based tech company, founded in 2006. We're builders at heart, we make simple products that actually matter to the people who use them. We have two product lines: Workleap Agent , our newest solution built to make every manager more effective, and ShareGate , the world's leading solution for Microsoft 365 migration and governance. More than 15,000 companies worldwide trust us to do exactly that. We're intentional about who joins us. If you're the kind o…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Workleap,110000.0,140000.0,ca,[],125000.0
,,"Senior Analyst, Marketing","Why Meridian? At Meridian our aspiration is to integrate our purpose into everything we do for people, the planet, and communities. We believe that our greatest opportunity is to create opportunity and meet people where they are. Factor us into your next career opportunity. We want you to grow with us and have an experience that’s different. This is a place where you can expect the unexpected. Find our story here: About Meridian The role: The Senior Marketing Analyst provides proactive, actiona…",,,"St. Catharines, Niagara",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Meridian Credit Union Limited,59800.0,89800.0,ca,[],74800.0
,,"Financial Analyst, Marketing & Quotes","GroupQuest, a division of People Corporation, is looking for a Financial Analyst, Marketing & Quotes to join our team. One of our highest priorities is providing excellent service and creating long-lasting relationships. We were acquired by People Corporation in 2019 and appreciate the advantages of being part of Canada’s largest provider of employee benefits and employer services. Internally, we offer our employees opportunities for professional development and growth. As a Financial Analyst a…",,,"Burlington, Halton",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,People Corporation,55000.0,80000.0,ca,[],67500.0
,,Analyste Opérations Marketing (RevOps) - ShareGate,"À propos de Workleap Workleap est une entreprise tech montréalaise fondée en 2006. Bâtisseurs dans l'âme, on crée des produits simples qui font une réelle différence pour ceux qui les utilisent. On a deux lignes de produits : L'agent Workleap , notre nouvelle solution conçue pour aider chaque gestionnaire à être plus efficace et ShareGate , la référence mondiale de migration et de gouvernance Microsoft 365. Plus de 15 000 entreprises dans le monde nous font confiance pour faire exactement ça. O…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Workleap,140000.0,140000.0,ca,[],140000.0
