job_id,company_name,title,description,max_salary,pay_period,location,company_id,views,med_salary,min_salary,formatted_work_type,applies,original_listed_time,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,normalized_salary,zip_code,fips,source,extracted_skills
3885112244,,Business Analyst,"Business Analyst will be part of a core central project execution team within Front Office, that ensures the timely execution of Project deliverables across workstreams.
Responsibilities of this role:Set up and facilitate meetings with Stakeholders to understand business processes, pain points, and project requirements.Understand program needs and document clear and detailed business requirements, including the creation of process flows.Acts as a translator between the stakeholder and other team members to help the business team understand the client’s vision.Operate in both an Agile and traditional Waterfall environments while actively supporting deliverable creation and delivery.Routinely record and send out meeting minutes, decisions, and action items to team membersQualifications2+ years of experience as a Business Analyst or relevant professional experience in a variety of backgrounds and industriesExperience working in and utilizing various business analysis techniques with Agile and or traditional project management principlesExperience working as part of a multi-function project team, including interacting and following-up with multiple stakeholders including but not limited to program leaders, SMEs, process owners, IT staff, etc.Skills Required:Strong analytical, planning, and organization skillsDemonstrates strong time management skills and is able to manage competing demandsExcellent presentation and written communication skills with experience interacting at all levels including at the executive levelSolid understanding of and demonstrated experience in using project management tools such as PowerPoint, Excel, Microsoft Project, Visio, and all Office toolsWillingness to learn new skills and dedicated to self-growth
",100000.0,YEARLY,United States,,10.0,,80000.0,Full-time,2.0,1712441167000.0,1.0,https://www.linkedin.com/jobs/view/3885112244/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1727992913000.0,,,,1712441167000.0,,0,FULL_TIME,USD,BASE_SALARY,90000.0,,,kaggle_us,['Excel']
3887719397,Talentify.io,Domo Data Analyst (REMOTE),"Employer Industry: Solar Energy

Why Consider This Job Opportunity

 Salary up to $100,000 Opportunity for career advancement and growth within the organization Work remotely from home Health, dental, vision, and life insurance benefits Paid time off, sick leave, and holidays Dynamic and fast-paced work environment

What To Expect (Job Responsibilities)

 Work with large amounts of data to draw meaningful conclusions Develop and implement data collection systems and strategies Provide regular reporting and analysis to the team Collaborate with cross-functional teams to identify areas for improvement Provide training and support to team members on data analysis techniques

What Is Required (Qualifications)

 Minimum two years of experience with DOMO MajorDOMO Certification Required 3+ years experience in data analysis, reporting, business intelligence or financial analysis Bachelor’s Degree in Business, Statistics, Mathematics, Analytics, Computer Sciences or related field Experience with SQL, and DOMO

How To Stand Out (Preferred Qualifications)

 2 years experience in providing people analytics reporting to organizations

#SolarEnergy #DataAnalysis #RemoteWork #CareerGrowth #CompetitivePay

At Talentify, we prioritize candidate privacy and champion equal-opportunity employment. Central to our mission is our partnership with companies that share this commitment. We aim to foster a fair, transparent, and secure hiring environment for all. If you encounter any employer not adhering to these principles, please bring it to our attention immediately.

Talentify is not the EOR (Employer of Record) for this position. Our role in this specific opportunity is to connect outstanding candidates with a top-tier employer.

Talentify helps candidates around the world to discover and stay focused on the jobs they want until they can complete a full application in the hiring company career page/ATS.",,YEARLY,United States,2204084.0,60.0,100000.0,,Full-time,7.0,1712275200000.0,1.0,https://www.linkedin.com/jobs/view/3887719397/?trk=jobs_biz_prem_srch,https://tfy.io/jo/_js9q9m?utm_campaign=booc-linkedin&tdd=dDEsaDEsamw4aDE2LHI0LGVwcm82NjEwNTg0YzI3ZDM3NDExMDAxMTA4&utm_medium=Xml&personalized=true&utm_source=linkedin,OffsiteApply,1714943546000.0,,Entry level,,1712351546000.0,tfy.io,0,FULL_TIME,USD,BASE_SALARY,100000.0,,,kaggle_us,"['SQL', 'Statistics']"
3888946712,Allstate,Rating & Ratemaking Insights Analyst II,"The world isn’t standing still, and neither is Allstate. We’re moving quickly, looking across our businesses and brands and taking bold steps to better serve customers’ evolving needs. That’s why now is an exciting time to join our team. You’ll have opportunities to take risks, challenge the status quo and shape the future for the greater good.

You’ll do all this in an environment of excellence and the highest ethical standards – a place where values such as integrity, inclusive diversity and accountability are paramount. We empower every employee to lead, drive change and give back where they work and live. Our people are our greatest strength, and we work as one team in service of our customers and communities.

Everything we do at Allstate is driven by a shared purpose: to protect people from life’s uncertainties so they can realize their hopes and dreams. For more than 89 years we’ve thrived by staying a step ahead of whatever’s coming next – to give customers peace of mind no matter what changes they face. We acted with conviction to advocate for seat belts, air bags and graduated driving laws. We help give survivors of domestic violence a voice through financial empowerment. We’ve been an industry leader in pricing sophistication, telematics, digital photo claims and, more recently, device and identity protection.

We are the Good Hands. We don’t follow the trends. We set them.

Job Summary

The Rating & Ratemaking Insights Analyst II role will collaborate with other members of their team to provide basic to moderately complex analytical support to various areas of the organization. In addition, the individual will be responsible for supporting business processes that exist within the team and the maintenance of Allstate tools and rates to ensure accuracy. Project work includes, but not limited to: updates that affect Allstate rating plans, minor & major initiatives, basic to moderately complex data validation and ad-hoc requests.

Key Responsibilities

Understands and contributes to the overall plan for projects/processes by coordinating requirements across various disciplines, providing formal documentation if needed and developing a recommended plan and timeline for assigned workUnderstands the state regulatory environment and specific regulations in order to make appropriate decisionsCreates, updates and maintains various aspects incorporated and utilized in the Allstate rating plans and/or rating toolsPartners with appropriate customers to gather requirements and/or understands where to locate information in order to complete basic to moderate complexity processesPerforms testing and documentation, verifies quality through applications and review processes, and identifies inconsistencies in data and communicates with the appropriate customerMake daily decisions to meet accuracy standards, and to identify and resolve basic data issues with support of mentor/managerPerforms basic to moderately complex ad-hoc data requests and responds to questions for various customers

Education And Experience

4 year Bachelors Degree (Preferred)0-2 years experience (Preferred)In lieu of the above education requirements, an equivalent combination of education and experience may be considered.

Certificates, Licenses, Registrations

No Certification, License or Registration is required for the job.

Functional Skills

Basic/Intermediate proficiency in Microsoft Office suiteBasic technology skillsBasic/Intermediate decision making skillsBasic/Intermediate time and project management skillsBasic/Intermediate problem solving skillsBasic/Intermediate detail oriented and organizational skillsIntermediate communication skills (written/verbal) with both internal and external customers

Notes

The preceding description is not designed to be a complete list of all duties and responsibilities. May be required to perform other related duties as assigned. Regular, predictable attendance is an essential function of this job.

Compensation offered for this role is $56,000.00 (established starting salary) and is based on experience and qualifications.

The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.

Good Hands. Greater Together. ℠

As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy. For a full description of Allstate’s benefits, visit https://www.allstate.jobs/benefits/

Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.

Allstate generally does not sponsor individuals for employment-based visas for this position.

Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click “here” for information regarding the San Francisco Fair Chance Ordinance.

For jobs in Los Angeles, please click “here” for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

To view the “EEO is the Law” poster click “here”. This poster provides information concerning the laws and procedures for filing complaints of violations of the laws with the Office of Federal Contract Compliance Programs

To view the FMLA poster, click “here”. This poster summarizing the major provisions of the Family and Medical Leave Act (FMLA) and telling employees how to file a complaint.

It is the Company’s policy to employ the best qualified individuals available for all jobs. Therefore, any discriminatory action taken on account of an employee’s ancestry, age, color, disability, genetic information, gender, gender identity, gender expression, sexual and reproductive health decision, marital status, medical condition, military or veteran status, national origin, race (include traits historically associated with race, including, but not limited to, hair texture and protective hairstyles), religion (including religious dress), sex, or sexual orientation that adversely affects an employee's terms or conditions of employment is prohibited. This policy applies to all aspects of the employment relationship, including, but not limited to, hiring, training, salary administration, promotion, job assignment, benefits, discipline, and separation of employment.

",,YEARLY,United States,1835.0,56.0,56000.0,,Full-time,11.0,1712633225000.0,1.0,https://www.linkedin.com/jobs/view/3888946712/?trk=jobs_biz_prem_srch,https://www.allstate.jobs/job/20030305/rating-ratemaking-insights-analyst-ii-remote/?source=linkedinjobpostings,OffsiteApply,1715225970000.0,,,,1712633970000.0,www.allstate.jobs,0,FULL_TIME,USD,BASE_SALARY,56000.0,,,kaggle_us,[]
3889414779,Talentify.io,Data Analyst -AITS (Hybrid/Remote),"Employer Industry: Higher Education

Why Consider This Job Opportunity

 Salary up to $80,000 Opportunity for career advancement and growth within the organization Supportive and collaborative work environment Chance to directly impact student success, research discovery, public service, and healthcare missions Continuous learning of new data analytics technologies Development of educational programs to enhance data literacy

What To Expect (Job Responsibilities)

 Engage and assist university clients with understanding and utilizing data effectively Design data analytics solutions such as reports and dashboards Coordinate and develop data education programs to enhance data literacy Actively participate in project activities and provide project status updates Provide input and support for upgrades, capacity planning, and best practices

What Is Required (Qualifications)

 High school diploma or equivalent Minimum of 2 years (24 months) of college coursework or work experience in IT-related functions Additional education, training, and work experience may be required based on position requirements Excellent communication skills, both oral and written Demonstrated ability to prioritize and collaborate in a team-oriented environment

How To Stand Out (Preferred Qualifications)

 Experience in a higher education environment Demonstrated experience with cloud data storage solutions Drive to learn and master new technologies and techniques Demonstrated ability to gather requirements and develop data analytics solutions iteratively Experience with SQL query development

#DataAnalytics #HigherEducation #CareerOpportunity #CompetitivePay #DataLiteracy

At Talentify, we prioritize candidate privacy and champion equal-opportunity employment. Central to our mission is our partnership with companies that share this commitment. We aim to foster a fair, transparent, and secure hiring environment for all. If you encounter any employer not adhering to these principles, please bring it to our attention immediately. Talentify is not the EOR (Employer of Record) for this position. Our role in this specific opportunity is to connect outstanding candidates with a top-tier employer.

Talentify helps candidates around the world to discover and stay focused on the jobs they want until they can complete a full application in the hiring company career page/ATS.",,YEARLY,United States,2204084.0,5.0,80000.0,,Full-time,,1712620800000.0,1.0,https://www.linkedin.com/jobs/view/3889414779/?trk=jobs_biz_prem_srch,https://tfy.io/jo/6js713x?utm_campaign=booc-linkedin&tdd=dDEsaDEsamxkaTF2LHI0LGVwcm82NjE0ZjU4NjZkMzFhMTE3MjI4NTgy&utm_medium=Xml&personalized=true&utm_source=linkedin,OffsiteApply,1715245945000.0,,Entry level,,1712653945000.0,tfy.io,0,FULL_TIME,USD,BASE_SALARY,80000.0,,,kaggle_us,['SQL']
3889417419,Talentify.io,Data Analyst - Remote,"Employer Industry: Healthcare Services

Why Consider This Job Opportunity

 Salary up to $137,800 annually Opportunity for career advancement and growth within the organization Work remotely from anywhere within the U.S. Comprehensive benefits package, incentive and recognition programs, equity stock purchase, and 401k contribution Clear direction on what it takes to succeed in your role and development for other roles

What To Expect (Job Responsibilities)

 Build analytical tools and lead process automation opportunities through various programming languages such as SQL and R Provide consulting services to external clients to understand and improve pharmacy benefit insights Use medical and pharmacy claims data to identify and solve a range of problems within the pharmacy benefit Query from relational databases and summarize information in a meaningful way Prioritize and organize work to meet client deadlines

What Is Required (Qualifications)

 3+ years of analytical experience 3+ years of statistical software experience with SAS, SQL, and R 1+ years of pharmacy claims & enrollment data experience

How To Stand Out (Preferred Qualifications)

 Experience with data visualization tools such as Tableau or Power BI Healthcare informatics and/or medical claims experience Ability to communicate and present data to stakeholders Intermediate level Microsoft Office Suite knowledge (Word, Excel, Outlook)

#HealthcareServices #CareerOpportunity #CompetitivePay #RemoteWork #ProfessionalGrowth

At Talentify, we prioritize candidate privacy and champion equal-opportunity employment. Central to our mission is our partnership with companies that share this commitment. We aim to foster a fair, transparent, and secure hiring environment for all. If you encounter any employer not adhering to these principles, please bring it to our attention immediately.

Talentify is not the EOR (Employer of Record) for this position. Our role in this specific opportunity is to connect outstanding candidates with a top-tier employer.

Talentify helps candidates around the world to discover and stay focused on the jobs they want until they can complete a full application in the hiring company career page/ATS.",,YEARLY,United States,2204084.0,6.0,137800.0,,Full-time,,1712620800000.0,1.0,https://www.linkedin.com/jobs/view/3889417419/?trk=jobs_biz_prem_srch,https://tfy.io/jo/q4xjz2r?utm_campaign=booc-linkedin&tdd=dDEsaDEsamxkbnZwLHI0LGVwcm82NjE0ZjU4NjZkMzFhMTE3MjI4NTgy&utm_medium=Xml&personalized=true&utm_source=linkedin,OffsiteApply,1715245946000.0,,Entry level,,1712653946000.0,tfy.io,0,FULL_TIME,USD,BASE_SALARY,137800.0,,,kaggle_us,"['SQL', 'Excel', 'Tableau', 'Power BI', 'SAS', 'Data Visualization']"
3895542866,Nordstrom,Credit Data Analyst 2 (Remote),"Job Description

As an integral part of our Digital Analytics team, the data analyst 2 is responsible for collecting, analyzing and presenting data to improve decision making around customer experience projects in Nordstrom’s high-growth Direct online channel. This individual should have a high degree of curiosity about the business and the skills to discover impactful insights from data. They should be able to communicate those insights in a way that builds confidence and enables decisions that drive business value.

A day in the life…

Partner with key stakeholders on data analysis problemsMine complex digital behavioral data and transform it into actionable informationApply common statistical methods, data modeling, and predictive analysis to answer strategic questions for the online businessUse advanced data visualization techniques to communicate solutions to business stakeholdersProvide exceptional customer service through professionalism, ownership and initiativeDemonstrate productivity through the efficient use of time and a commitment to strong results

You own this if you have…

Quantitative degree (preferably a Master's degree) in mathematics, statistics, computer science, engineering, or similar quantitative analytics discipline1+ year of corporate data analysis experience in online analytics (online retail a plus)1+ year of corporate experience writing SQL queries from scratch1+ year of professional experience using R or Python in an analytics capacityWorking understanding of statisticsGood verbal and written communication skills, ability to convey results to non-experts

Nordstrom is able to offer remote employment for this position in: Arizona, California, Colorado, Illinois, Nevada, North Carolina, Texas, Utah and Washington.

We’ve got you covered…

Our employees are our most important asset and that’s reflected in our benefits. Nordstrom is proud to offer a variety of benefits to support employees and their families, including:

Medical/Vision, Dental, Retirement and Paid Time AwayLife Insurance and DisabilityMerchandise Discount and EAP Resources

A few more important points...

The job posting highlights the most critical responsibilities and requirements of the job. It’s not all-inclusive. There may be additional duties, responsibilities and qualifications for this job.

Nordstrom will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.

Applicants with disabilities who require assistance or accommodation should contact the nearest Nordstrom location, which can be identified at www.nordstrom.com.

© 2022 Nordstrom, Inc

Current Nordstrom employees: To apply, log into Workday, click the Careers button and then click Find Jobs.

Pay Range Details

The pay range(s) below are provided in compliance with state specific laws. Pay ranges may be different in other locations.

California: $87,500- $145,000 annually, Colorado: $76,500- $126,500 annually, Nevada: $76,500- $126,500 annually, Washington: $87,500- $145,000 annually",145000.0,YEARLY,United States,3379.0,220.0,,76500.0,Full-time,16.0,1712892062000.0,1.0,https://www.linkedin.com/jobs/view/3895542866/?trk=jobs_biz_prem_srch,https://nordstrom.wd5.myworkdayjobs.com/nordstrom_careers/job/Centennial-CO/Credit-Data-Analyst-2--Remote-_R-644855-1/apply?source=LinkedIn,OffsiteApply,1715484710000.0,,Mid-Senior level,,1712892710000.0,nordstrom.wd5.myworkdayjobs.com,0,FULL_TIME,USD,BASE_SALARY,110750.0,,,kaggle_us,"['Python', 'SQL', 'Statistics', 'Data Visualization']"
3899527989,Akkodis,Senior Business Analyst ,"Akkodis is seeking a Senior Business Analyst Bilingual (Spanish) for a Full-time position with 100% Remote. United States and ideally looking for applicants with a solid Candidate in Spanish
Pay Range: $120k - $135/Annum. The rate may be negotiable based on experience, education, geographic location, and other factors.
SOP Development:Lead the creation and documentation of SOPs for various business processes.Work closely with the departments heads to understand current workflows and procedures.Document processes in a clear and concise manner, including instructions, flowcharts, and diagrams.Regularly review and update SOPs to ensure accuracy, relevance and compliance with standards and regulations.Analytic Approach:Identify key business objectives and formulate data-driven hypotheses to address them.Collect, organize, and analyze large datasets using statistical and data analysis techniques.Develop and implement analytical models and methodologies to extract business insights and drive strategic initiatives.Create visualizations, reports, and presentations to communicate findings and recommendations.KPI Establishment:Identify relevant data metrics to measure performance and uncover areas of optimization, improving operational excellence.Establish benchmarks and targets for KPIs based on company goals and productivity objectives.Decision making support:Work cross-functionally to determine the necessary information for informed decision-making, providing insights and recommendations based on data analysis.QualificationsBachelor’s degree in business administration, Economics, Finance or related field.Strong analytical skills with the ability to collect, organize, analyze and significant amounts of information with attention to detail and accuracy.Experience working in Microsoft tools.Excellent written and verbal communication skills, with the ability to present complex information in a clear manner.High accountability that delivers on commitments.

If you are interested in this role, then you can click APPLY NOW. For other opportunities available at Akkodis, or any questions, don't hesitate to get in touch with Sahil Mavi at 610-227-6981 or Sahil.mavi@akkodisgroup.com.Equal Opportunity Employer/Veterans/Disabled
Benefit offerings include medical, dental, vision, term life insurance, short-term disability insurance, additional voluntary benefits, commuter benefits, and a 401K plan. Our program provides employees the flexibility to choose the type of coverage that meets their individual needs. Available paid leave may include Paid Sick Leave, where required by law; any other paid leave required by Federal, State, or local law; and Holiday pay upon meeting eligibility criteria. Disclaimer: These benefit offerings do not apply to client-recruited jobs and jobs which are direct hire to a client.
To read our Candidate Privacy Information Statement, which explains how we will use your information, please visit https://www.akkodis.com/en/privacy-policy.The Company will consider qualified applicants with arrest and conviction records.",135000.0,YEARLY,United States,79383535.0,609.0,,120000.0,Full-time,220.0,1713279469000.0,1.0,https://www.linkedin.com/jobs/view/3899527989/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1715871468000.0,,Associate,,1713279469000.0,,0,FULL_TIME,USD,BASE_SALARY,127500.0,,,kaggle_us,[]
3900946516,TEEMA,Business Analyst (Windchill PLM),"Position responsibilities:Closely work with Cross workstream, Individual Workstream lead, understand the business requirements/processes and develops strategic goals and objectives to achieving the deliverables.Captures all relationships and dependencies (functionally and technically) between various workstream and define set of strategy for solutioning.Applying a structured business architecture approach and methodology for capturing the key objectives of requirement and cascade to development team.Solution design with Business Administration focusHelp define the performance goals, metrics, and key milestones for the proposed solutions.Provide insights and expertise from past engagements, industry knowledge, and application knowledge.Leverage Supplier’s internal and alliance network to help develop innovative solutions or solve difficult solutioning problems.Provide a long-term guidance using internal research performed to allow for flexibility in the solution design.Provide guidance and training to the implementation teams.Personal should have automotive & Windchill experience.",120000.0,YEARLY,United States,521122.0,159.0,,100000.0,Full-time,80.0,1713388792000.0,1.0,https://www.linkedin.com/jobs/view/3900946516/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1715980792000.0,,Mid-Senior level,,1713388792000.0,,0,FULL_TIME,USD,BASE_SALARY,110000.0,,,kaggle_us,[]
3900950714,Centene Corporation,Business Analyst IV,"You could be the one who changes everything for our 28 million members. Centene is transforming the health of our communities, one person at a time. As a diversified, national organization, you’ll have access to competitive benefits including a fresh perspective on workplace flexibility.

Position Purpose Perform and lead various analysis and interpretation to link business needs and objectives for assigned function and implement process improvements. This role will primarily support all New Jersey State reporting for DOBI, DMAHS and Marketplace.

Lead the support of business initiatives through data analysis, identification of implementation barriers and user acceptance testing of various systemsLead the identification and analysis of user requirements, procedures, and problems to improve existing processesResolve issues and identify opportunities for process redesign and improvementPerform detailed analysis on multiple projects, recommend potential business solutions and ensure successful implementations, including improvements and revisions to business processes and requirementsEvaluate risks and concerns and communicate to managementCoordinate with various business units and departments in the development and delivery of training programsDevelop, share, and incorporate organizational best practices into business applicationsOversee all changes to departmental policies and procedures, including communicating and implementing the changesServe as the subject matter expert on the assigned function product to ensure operational performanceAbility to travel

Benefits and Payment Configuration Bachelor’s degree in related field or equivalent experience. 6+ years of business process analysis, preferably in healthcare (i.e. documenting business process, gathering requirements) or claims payment/analysis experience. Advanced knowledge of Microsoft Applications, including Excel and Access preferred. Experience in benefits, pricing, contracting or claims and knowledge of provider reimbursement methodologies. Knowledge of managed care information or claims payment systems preferred. Previous structured testing experience preferred. Candidate is strongly preferred to have working experience in using Quest Desktop, Microsoft SQL Server Management Studio 18 software and Power BI.

Pay Range $84,300.00 - $151,700.00 per year

Centene offers a comprehensive benefits package including competitive pay, health insurance, 401K and stock purchase plans, tuition reimbursement, paid time off plus holidays, and a flexible approach to work with remote, hybrid, field or office work schedules. Actual pay will be adjusted based on an individual's skills, experience, education, and other job-related factors permitted by law. Total compensation may also include additional forms of incentives.

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.",151700.0,YEARLY,"Connecticut, United States",9703.0,55.0,,84300.0,Full-time,10.0,1713389262000.0,1.0,https://www.linkedin.com/jobs/view/3900950714/?trk=jobs_biz_prem_srch,https://ad.doubleclick.net/ddm/clk/416849445;275979402;z?https://jobs.centene.com/us/en/jobs/1495432/business-analyst-iv/?ss=paid&utm_campaign=always_on-full_scrape_&utm_medium=social_media&utm_source=linkedin.com&utm_content=job_posting,OffsiteApply,1715981985000.0,,,,1713389985000.0,jobs.centene.com,0,FULL_TIME,USD,BASE_SALARY,118000.0,,,kaggle_us,"['SQL', 'Excel', 'Power BI']"
3900950716,Fidelis Care,Business Analyst IV,"You could be the one who changes everything for our 28 million members. Centene is transforming the health of our communities, one person at a time. As a diversified, national organization, you’ll have access to competitive benefits including a fresh perspective on workplace flexibility.

Position Purpose Perform and lead various analysis and interpretation to link business needs and objectives for assigned function and implement process improvements. This role will primarily support all New Jersey State reporting for DOBI, DMAHS and Marketplace.

Lead the support of business initiatives through data analysis, identification of implementation barriers and user acceptance testing of various systemsLead the identification and analysis of user requirements, procedures, and problems to improve existing processesResolve issues and identify opportunities for process redesign and improvementPerform detailed analysis on multiple projects, recommend potential business solutions and ensure successful implementations, including improvements and revisions to business processes and requirementsEvaluate risks and concerns and communicate to managementCoordinate with various business units and departments in the development and delivery of training programsDevelop, share, and incorporate organizational best practices into business applicationsOversee all changes to departmental policies and procedures, including communicating and implementing the changesServe as the subject matter expert on the assigned function product to ensure operational performanceAbility to travel

Benefits and Payment Configuration Bachelor’s degree in related field or equivalent experience. 6+ years of business process analysis, preferably in healthcare (i.e. documenting business process, gathering requirements) or claims payment/analysis experience. Advanced knowledge of Microsoft Applications, including Excel and Access preferred. Experience in benefits, pricing, contracting or claims and knowledge of provider reimbursement methodologies. Knowledge of managed care information or claims payment systems preferred. Previous structured testing experience preferred. Candidate is strongly preferred to have working experience in using Quest Desktop, Microsoft SQL Server Management Studio 18 software and Power BI.

Pay Range $84,300.00 - $151,700.00 per year

Centene offers a comprehensive benefits package including competitive pay, health insurance, 401K and stock purchase plans, tuition reimbursement, paid time off plus holidays, and a flexible approach to work with remote, hybrid, field or office work schedules. Actual pay will be adjusted based on an individual's skills, experience, education, and other job-related factors permitted by law. Total compensation may also include additional forms of incentives.

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.",151700.0,YEARLY,"New York, United States",461365.0,128.0,,84300.0,Full-time,45.0,1713389262000.0,1.0,https://www.linkedin.com/jobs/view/3900950716/?trk=jobs_biz_prem_srch,https://ad.doubleclick.net/ddm/clk/416849445;275979402;z?https://jobs.centene.com/us/en/jobs/1495432/business-analyst-iv/?ss=paid&utm_campaign=always_on-full_scrape_&utm_medium=social_media&utm_source=linkedin.com&utm_content=job_posting,OffsiteApply,1715981985000.0,,,,1713389985000.0,jobs.centene.com,0,FULL_TIME,USD,BASE_SALARY,118000.0,,,kaggle_us,"['SQL', 'Excel', 'Power BI']"
